DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Stock Markets and Business Cycle Comovement in Germany before World War I: Evidence from Spectral Analysis;Albrecht Ritschl,Martin Uebele,,,;SFB649DP2005-056.pdf;2005;;16.11.2005;C5;"
E32,
E44,
N13
 "
Limited Enforceable International Loans, International Risk Sharing and Trade;Almuth Scholl,,,,;SFB649DP2005-055.pdf;2005;;25.10.2005;C1;"
E32,
D52,
F34,
F41
 "
Aid Effectiveness and Limited Enforceable Conditionality;Almuth Scholl,,,,;SFB649DP2005-054.pdf;2005;;25.10.2005;C1;"
E13,
F35,
O11,
O19
 "
Relational Contracts and Job Design;Anja Schöttner;SFB649DP2005-052.pdf;2005;;29.09.2005;A4;"
M51,
M54
 "
Explicit characterization of the super-replication strategy in financial markets with partial transaction costs;Imen Bentahar,Bruno Bouchard,,,;SFB649DP2005-053.pdf;2005;;20.10.2005;A3;"
G12,
G13,
C6
 "
Do Factor Shares Reflect Technology?;Dominique Demougin,Benjamin Bental,,,;SFB649DP2005-050.pdf;2005;;26.09.2005;A4;"
E23,
E25
 "
Optimal Investments for Risk- and Ambiguity-Averse Preferences: A Duality Approach;Alexander Schied;SFB649DP2005-051.pdf;2005;;11.09.2006;A3;"
G11,
D81
 "
Courtesy and Idleness: Gender Differences in Team Work and Team Competition;Dorothea Kübler, Radosveta Ivanova-Stenzel;SFB649DP2005-049.pdf;2005;;21.09.2005;A6;"
C72,
C73,
C91,
D82
 "
Zeitarbeit in Deutschland: Trends und Perspektiven;Michael C. Burda,Michael Kvasnicka,,,;SFB649DP2005-048.pdf;2005;;14.09.2005;C7;"
J30,
J40,
J60
 "
Paternal Uncertainty and the Economics of Mating, Marriage, and Parental Investment in Children;Dirk Bethmann,Michael Kvasnicka,,,;SFB649DP2005-046.pdf;2005;;05.09.2005;C7;"
D10,
J12,
J13,
D02
 "
Estimation and Testing for Varying Coefficients in Additive Models with Marginal Integration;Wolfgang Härdle,Byeong Park,Lan Xue,Lijian Yang,;SFB649DP2005-047.pdf;2005;;06.09.2005;B1;"
C13,C14,C40
 "
A Software Framework for Data Based Analysis;Markus Krätzig,,,,;SFB649DP2005-044.pdf;2005;;29.08.2005;C2;"
C63
 "
Labour Market Dynamics in Germany: Hirings, Separations, and Job-to-Job Transitions over the Business Cycle;Ronald Bachmann,,,,;SFB649DP2005-045.pdf;2005;;02.09.2005;C7;"
J63,
J64,
J21,
E24
 "
Bank finance versus bond finance: what explains the differences between US and Europe?;Harald Uhlig,Fiorella De Fiore,,,;SFB649DP2005-042.pdf;2005;;01.08.2005;C1;"
E20,
E44,
C68
 "
"On Local Times of Ranked Continuous Semimartingales; Application to Portfolio Generating Functions";Raouf Ghomrasni,,,,;SFB649DP2005-043.pdf;2005;;13.06.2005;A3;"
G11
 "
Fixed-Prize Tournaments versus First-Price Auctions in Innovation Contests;Anja Schöttner,,,,;SFB649DP2005-041.pdf;2005;;09.08.2005;A4;"
D44,
H57,
L15
 "
Optimal Sticky Prices under Rational Inattention;Bartosz Mackowiak,Mirko Wiederholt,,,;SFB649DP2005-040.pdf;2005;;04.08.2005;C1,C3;"
E3,
E5,
D8
 "
What are the Effects of Fiscal Policy Shocks?;Harald Uhlig,Andrew Mountford ,,,;SFB649DP2005-039.pdf;2005;;03.08.2005;C1;"
C32,
E60,
E62,
H20,
H50,
H60
 "
Discretisation of Stochastic Control Problems for Continuous Time Dynamics with Delay;Markus Fischer,Markus Reiss,,,;SFB649DP2005-038.pdf;2005;;02.08.2005;C4;"
C63
 "
New Evidence on the Puzzles.  Results from Agnostic Identification on Monetary Policy and Exchange Rates;Harald Uhlig, Almuth Scholl;SFB649DP2005-037.pdf;2005;;11.07.2005;C1;"
C32,
E58,
F31,
F42
 "
Getting Used to Risk: Reference Dependence and Risk Inclusion;Astrid Matthey,,,,;SFB649DP2005-036.pdf;2005;;06.07.2005;A6;"
D81,
I18
 "
Utility Duality under Additional Information: Conditional Measures versus Filtration Enlargements;Stefan Ankirchner,,,,;SFB649DP2005-029.pdf;2005;;27.05.2005;B6;"
C61,
D82
 "
Uncovered Interest Rate Parity and the Expectations Hypothesis of the Term Structure:Empirical Results for the  U.S. and Europe;Ralf Brüggemann,Helmut Lütkepohl,,,;SFB649DP2005-035.pdf;2005;;22.06.2005;C2;"
C32
 "
Towards a Monthly Business Cycle Chronology for the Euro Area;Emanuel Mönch,Harald Uhlig,,,;SFB649DP2005-023.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/2005-023.zip;08.04.2005;C1;"B41,
C22,
C82,
E32,
E58
 "
Modeling the FIBOR/EURIBOR Swap Term Structure: An Empirical Approach;Oliver Blaskowitz,Helmut Herwartz,Gonzalo de Cadenas Santiago,,;SFB649DP2005-024.pdf;2005;;20.04.2005;B1,C2;"
C32,
C53,
E43,
G29
 "
A Dynamic Semiparametric Factor Model for Implied Volatility String Dynamics;Wolfgang K. Härdle,Matthias R. Fengler,Enno Mammen,,;SFB649DP2005-020.pdf;2005;;06.03.2005;B1;"
C14,
G12
 "
DSFM fitting of Implied Volatility Surfaces;Szymon Borak,Wolfgang Härdle,Matthias R. Fengler,,;SFB649DP2005-022.pdf;2005;;01.04.2005;B1;"
C14
 "
Dynamics of State Price Densities;"Wolfgang Härdle,Zden&#283;k Hlávka,,,";SFB649DP2005-021.pdf;2005;;01.04.2005;B1;"
C13,C14,G12
 "
Skill Mismatch in Equilibrium Unemployment;Ronald Bachmann,,,,;SFB649DP2005-034.pdf;2005;;22.06.2005;C7;"
J64,
J65,
D33
 "
Notes on an Endogenous Growth Model with two Capital Stocks II: The Stochastic Case;Dirk Bethmann,,,,;SFB649DP2005-033.pdf;2005;;13.06.2005;C7;"
C61,
C62
 "
Working Time as an Investment? – The Effects of Unpaid Overtime on Wages, Promotions and Layoffs;Silke Anger,,,,;SFB649DP2005-032.pdf;2005;;13.06.2005;C7;"
J2,
J3,
J4
 "
Does Temporary Agency Work Provide a Stepping Stone to Regular Employment?;Michael Kvasnicka,,,,;SFB649DP2005-031.pdf;2005;;31.05.2005;C7;"
C14,
C41,
J41,
J64
 "
The Shannon Information of Filtrations and the Additional Logarithmic Utility of Insiders;Stefan Ankirchner,Peter Imkeller,Steffen Dereich,,;SFB649DP2005-030.pdf;2005;;27.05.2005;B6;"
C61,
D82
 "
A Market Basket Analysis Conducted with a Multivariate Logit Model;Yasemin Boztug,Lutz Hildebrandt,,,;SFB649DP2005-028.pdf;2005;;01.05.2005;B2;"
C31,
C33,
M31
 "
Money Demand and Macroeconomic Stability Revisited;Andreas Schabert,Christian Stoltenberg,,,;SFB649DP2005-027.pdf;2005;;10.05.2005;C1;"
E32,
E41,
E52
 "
Projection Pursuit For Exploratory Supervised Classification;Sigbert Klinke,Dianne Cook,Eun-Kyung Lee,Thomas Lumley,;SFB649DP2005-026.pdf;2005;;10.05.2005;B1;"
C19,
C49
 "
Arbitrage-free smoothing of the implied volatility surface;Matthias R. Fengler,,,,;SFB649DP2005-019.pdf;2005;;23.03.2005;B1;"
C14,
C81,
G12
 "
Nonparametric Risk Management with Generalized Hyperbolic Distributions;Ying Chen,Wolfgang Härdle,Seok-Oh Jeong,,;SFB649DP2005-001.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet001_ghada.zip;27.10.2004;B1;"
C14,
C16,
G15
 "
Duality theory for optimal investments under model uncertainty;Alexander Schied,Ching-Tang Wu,,,;SFB649DP2005-025.pdf;2005;;27.04.2005;A3;"
G11,
D81
 "
Yxilon - a modular open-source statistical programming language;Sigbert Klinke,Uwe Ziegenhagen,Yuval Guri,,;SFB649DP2005-018.pdf;2005;;01.04.2005;B1;"
C80
 "
Robust estimation of dimension reduction space;Wolfgang Härdle,Pavel Cizek,,,;SFB649DP2005-015.pdf;2005;;24.03.2005;B1;"
C14,
C40
 "
A two state model for noise-induced resonance in bistable systems with delay;Markus Fischer,Peter Imkeller,,,;SFB649DP2005-017.pdf;2005;;24.03.2005;B6,C4;"
C13,
C51,
C87,
M31
 "
Common functional component modelling;Michal Benko,Alois Kneip,,,;SFB649DP2005-016.pdf;2005;;24.03.2005;B1;"
C13,
G19
 "
Are Eastern European Countries Catching Up? Time Series Evidence for Czech Republic, Hungary, and Poland;Ralf Brüggemann,Carsten Trenkler,,,;SFB649DP2005-014.pdf;2005;;04.03.2005;C2;"
C32,
E24
 "
Nonparametric Productivity Analysis;Wolfgang Härdle,Seok-Oh Jeong,,,;SFB649DP2005-013.pdf;2005;;01.03.2005;B1;"
C14,D20
 "
Common Functional Implied Volatility Analysis;Michal Benko,Wolfgang Härdle,,,;SFB649DP2005-012.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet012_FDA.zip;01.03.2005;B1;"
C13,
G19
 "
Working with the XQC;Wolfgang Härdle,Heiko Lehmann,,,;SFB649DP2005-010.pdf;2005;;01.03.2005;B1;"
C87,C88
 "
FFT Based Option Pricing;Szymon Borak,Kai Detlefsen,Wolfgang Härdle,,;SFB649DP2005-011.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet011_FFToptionpricing.zip;01.03.2005;B1;"
G12
 "
Predicting Bankruptcy with Support Vector Machines;Wolfgang Härdle,Rouslan A. Moro,Dorothea Schäfer,,;SFB649DP2005-009.pdf;2005;;01.03.2005;B1;"
C40,G10
 "
Stable Distributions;Szymon Borak,Wolfgang Härdle,Rafal Weron,,;SFB649DP2005-008.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet008_Stabledistributions.zip;01.03.2005;B1;"
C16
 "
Implied Trinomial Trees;Pavel Cizek,Karel Komorad,,,;SFB649DP2005-007.pdf;2005;;01.03.2005;B1;"
C51,G12
 "
Conditional and dynamic convex risk measures;Kai Detlefsen,Giacomo Scandolo,,,;SFB649DP2005-006.pdf;2005;;10.02.2005;B1;"
D81
 "
An optimal stopping problem in a diffusion-type model with delay;Markus Reiß,Pavel V. Gapeev,,,;SFB649DP2005-005.pdf;2005;;10.02.2005;C4;"
C61
 "
Value-at-Risk Calculations with Time Varying Copulae;Enzo Giacomini,Wolfgang Härdle,,,;SFB649DP2005-004.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet004_VaR.zip;10.02.2005;B1;"
C14
 "
Selecting Comparables for the Valuation of European Firms;Ingolf Dittmann,Christian Weiner,,,;SFB649DP2005-002.pdf;2005;;10.02.2005;A1;"
G19,
M41
 "
What does the Bank of Japan do to East Asia?;Bartosz Mackowiak,,,,;SFB649DP2005-059.pdf;2005;;15.12.2005;C3;"F41, E3, E52
 "
Portfolio Value at Risk Based on Independent Components Analysis;Ying Chen,Wolfgang Härdle,Vladimir Spokoiny,,;SFB649DP2005-060.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/ICVaR.rar;15.12.2005;B1,B5;"
C14,
C15,
C32,
C53,
G20
 "
How much of the Macroeconomic Variation in Eastern Europe is Attributable to External Shocks?;Bartosz Mackowiak,,,,;SFB649DP2005-061.pdf;2005;;15.12.2005;C3;"F41, E3, O11, P2
 "
The Impact of Industry Classification Schemes on Financial Research;Christian Weiner;SFB649DP2005-062.pdf;2005;\N;20.12.2005;B4;"
G12,
G14,
M40
 "
The Conglomerate Discount in Germany and the Relationship to Corporate Governance;Christian Weiner;SFB649DP2005-063.pdf;2005;\N;14.12.2005;B4;"
G31,
G32,
G34
 "
Worldscope meets Compustat: A Comparison of Financial Databases;Niels Ulbricht,Christian Weiner;SFB649DP2005-064.pdf;2005;\N;14.12.2005;B4;"
G14,
G29,
M41
 "
